X,Y,OBJECTID,advisorySpeed,animals,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashDistance,crashFinancialYear,crashLocation1,crashLocation2,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,easting,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersectionMidblock,junctionType,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,northing,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,outdatedLocationDescription,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadCurvature,roadLane,roadMarkings,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1242273,4850359,102212,0,0,610800,0,0,0,0,0,Null,0,2004,VICTORIA AVENUE,LIFFEY ST,Non-Injury Crash,No,2004,0,West,0,1242273,0,0,Flat,0,0,0,Intersection,Crossroads,0,Bright sun,3115500,0,0,0,4850359,2,0,0,0,Current location,0,0,0,0,0,Southland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,75,Invercargill City,Give way,0,0,0,0,0,0,Urban,2,0,0,Fine,Null
1775515,5577533,102213,0,0,557100,0,0,0,2,0,South,30,2005,VICTORIA AVENUE,RIDGWAY ST,Non-Injury Crash,No,2004,0,North,0,1775515,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Overcast,1698200,0,0,0,5577533,2,0,0,0,Current location,0,0,0,0,0,Manawatu-Wanganui Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,37,Whanganui District,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1934308,5618443,102214,0,0,546500,0,0,0,2,0,South,60,2007,HAROLD HOLT AVENUE,ALEXANDER AVENUE,Non-Injury Crash,No,2006,0,North,0,1934308,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Bright sun,1440402,0,0,0,5618443,2,0,0,0,Current location,0,1,0,0,0,Hawke's Bay Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,31,Napier City,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1570659,5177997,102215,0,0,594600,0,0,0,3,0,Null,0,2002,HUXLEY ST,COLOMBO ST,Non-Injury Crash,No,2002,0,West,0,1570659,0,0,Flat,0,0,0,Intersection,Crossroads,0,Overcast,2621400,0,0,0,5177997,1,0,0,0,Current location,0,0,0,0,0,Canterbury Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,60,Christchurch City,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1718684,6045773,102216,0,0,503000,0,0,0,2,0,Null,0,2014,SH 1N,CENTRAL AVENUE,Non-Injury Crash,Yes,2014,0,North,0,1718684,0,0,Flat,0,0,0,Intersection,Crossroads,0,Overcast,97800,0,0,0,6045773,4,0,0,0,Current location,0,0,0,0,0,Northland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Off,0,0,0,2,Whangarei District,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1761072,5915005,102217,0,0,520201,0,0,0,1,0,South,80,2005,SH 1N,MAIN OBR,Non-Injury Crash,Yes,2005,0,North,0,1761072,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Bright sun,613500,0,0,0,5915005,3,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Straight,1-way,0,Sealed,0,0,0,0,100,0,Off,0,0,0,76,Auckland,Nil,0,0,0,0,0,0,Open,1,0,0,Fine,Null
1760888.932,5916470,102218,0,0,516003,0,0,0,2,0,Null,0,2019,GREEN LANE EAST (CWCE),LOCHIEL ROAD,Non-Injury Crash,No,2019,0,South,0,1760888,0,0,Null,0,0,0,Intersection,T Junction,0,Dark,494400,0,0,0,5916470,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Straight,Null,0,Null,0,0,0,0,50,0,On,0,0,0,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1750095,5423527,102219,0,0,577000,0,0,0,1,0,Null,0,2014,FREYBERG ST,WHA ST,Minor Crash,No,2013,0,South,0,1750095,0,0,Flat,0,0,0,Intersection,Crossroads,0,Dark,2174000,1,0,0,5423527,2,0,0,0,Current location,0,0,1,0,0,Wellington Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,47,Wellington City,Stop,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1582392,5275055,102220,0,0,585506,0,0,0,2,0,West,2200,2001,SH 7,LESLIE HILLS ROAD,Serious Crash,Yes,2001,0,East,0,1582392,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Dark,2428002,0,0,0,5275055,2,0,0,0,Current location,0,0,0,0,0,Canterbury Region,Nil,Curved,2-way,0,Sealed,0,0,1,0,100,0,None,0,0,0,58,Hurunui District,Unknown,0,0,0,1,0,0,Open,0,0,0,Fine,Null
1566080,5180098,102221,0,0,590200,0,0,0,1,0,Null,0,2006,ILAM ROAD,RICCARTON ROAD,Minor Crash,No,2005,0,South,0,1566080,0,0,Flat,0,0,0,Intersection,Crossroads,0,Bright sun,2540600,1,0,1,5180098,2,0,0,0,Current location,0,0,0,0,0,Canterbury Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,60,Christchurch City,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
